		مخزون جده		مخزون الرياض						
رقم الصنف	الوحدة	الكميه	التكلفه	الكميه	التكلفه					
AR_20635	كرتون	0.5	95.596353	0	0					
AR_20635_36	كرتون	5.75	665.85	3	347.4					
AR_20636	كرتون	3.5	669.174471	0	0					
AR_20637	كرتون	1	191.192706	0	0					
AR_20639_36	كرتون	3.75	434.25	3	347.4					
AR_20640_36	كرتون	23	2663.4	3	347.4					
AR_20641_36	كرتون	5	579	1	115.8					
AR_20642_36	كرتون	18	2084.4	3	347.4					
AR_20643	كرتون	1	161.996833	0	0					
AR_20643_36	كرتون	2.75	330	0	0					
AR_20644_36	كرتون	3	360	0	0					
AR_20645	كرتون	12.5	2024.960413	3	485.990499					
AR_20650_36	كرتون	2.75	330	0	0					
AR_20651_36	كرتون	3.75	434.25	1	115.8					
AR_20652_36	كرتون	3.5	405.3	3	347.4					
AR_20653	كرتون	34.25	2055	3.5	210					
AR_20656	كرتون	2.25	135	3.5	210					
AR_20657	كرتون	4	240	2.5	150					
AR_20658	كرتون	5.25	315	4.5	270					
AR_20660	كرتون	10.5	630	5	300					
AR_20661	كرتون	11.25	675	3.5	210					
AR_20662	كرتون	2	120	3.5	210					
AR_20663	كرتون	14.5	870	5	300					
AR_20697	كرتون	0	0	3.5	537.613951					
AR_20699	كرتون	0.25	41.38711225	0	0					
AR_20703	كرتون	0.5	85.4291385	0	0					
AR_20704	كرتون	0.25	42.32372625	0	0					
AR_20705	كرتون	0	0	2.75	360.5947373					
AR_20706	كرتون	0.5	64.3447395	3	386.068437					
AR_20711	كرتون	0.25	31.704056	1	126.816224					
AR_20733	كرتون	0	0	0.45	13.5					
AR_20734	كرتون	6	180	2	60					
AR_20735	كرتون	7	210	2	60					
AR_20737	كرتون	11	330	2	60					
AR_20738	كرتون	0	0	4	120					
AR_20739	كرتون	0	0	1.5	45					
AR_20740	كرتون	0	0	0.5	15					
AR_20741	كرتون	4.5	135	2	60					
AR_20743	كرتون	3.5	105	2.5	75					
AR_20745	كرتون	10	300	2	60					
AR_20746	كرتون	8.5	255	2	60					
AR_20747	كرتون	11	330	2	60					
AR_20748	كرتون	5	150	2.5	75					
AR_20749	كرتون	0	0	2.5	75					
AR_20753	كرتون	0	0	5	150					
AR_20754	كرتون	6	180	2	60					
AR_20834	كرتون	0.5	24	4	192					
AR_20835	كرتون	12.5	600	3	144					
AR_20836	كرتون	0	0	2	222.617384					
AR_20837	كرتون	14	672	1	48					
AR_20838	كرتون	0.5	57.053526	0	0					
AR_20840	كرتون	16	768	1	48					
AR_20841	كرتون	1	48	0	0					
AR_20842	كرتون	15.5	744	4	192					
AR_20843	كرتون	18.5	888	2	96					
AR_20844	كرتون	1.5	72	3	144					
AR_20845	كرتون	0.5	24	2	96					
AR_20846	كرتون	16	768	4	192					
AR_20847	كرتون	7.5	855.80289	0	0					
AR_20848	كرتون	20	960	4	192					
AR_20849	كرتون	9.5	456	3	144					
AR_20850	كرتون	13	1447.012996	0	0					
AR_20851	كرتون	14	672	2	96					
AR_20852	كرتون	30	3339.26076	0	0					
AR_20853	كرتون	23.5	1128	5	240					
AR_20854	كرتون	30	1440	5	240					
AR_20855	كرتون	19	912	2	96					
AR_20856	كرتون	21	1008	5	240					
AR_20857	كرتون	24	1152	5	240					
AR_20858	كرتون	15	720	2	96					
AR_20859	كرتون	12	576	5	240					
AR_20860	كرتون	15	720	5	240					
AR_20861	كرتون	14	672	2	96					
AR_20862	كرتون	25	1200	4	192					
AR_20863	كرتون	5	240	3.5	168					
AR_20864	كرتون	0.5	24	0	0					
AR_20865	كرتون	3	144	0	0					
AR_20866	كرتون	17	816	2	96					
AR_20867	كرتون	8.5	408	0	0					
AR_20868	كرتون	10.5	504	0	0					
AR_20869	كرتون	6	288	4	192					
AR_20870	كرتون	11	528	2	96					
AR_20871	كرتون	5.5	264	2	96					
AR_20872	كرتون	12.5	600	4	192					
AR_20873	كرتون	14	672	0	0					
AR_20874	كرتون	13	624	4	192					
AR_20875	كرتون	20.5	984	2	96					
AR_20876	كرتون	14.5	696	4	192					
AR_20877	كرتون	12.5	600	3	144					
AR_20878	كرتون	11	528	3	144					
AR_20879	كرتون	1	48	2	96					
AR_20880	كرتون	14.5	696	2	96					
AR_20881	كرتون	9.5	456	2	96					
AR_20882	كرتون	24	1152	5	240					
AR_20883	كرتون	19	912	5	240					
AR_20884	كرتون	10	480	3	144					
AR_20885	كرتون	22.5	1080	0	0					
AR_20886	كرتون	0.5	24	4	192					
AR_20887	كرتون	18	864	4	192					
AR_20888	كرتون	28	1344	5	240					
AR_20889	كرتون	22	1056	5	240					
AR_20890	كرتون	3	132	3	132					
AR_20891	كرتون	1.5	66	0	0					
AR_20892	كرتون	1.5	66	3	132					
AR_20893	كرتون	6	264	3	132					
AR_20894	كرتون	4.5	395.5689945	0	0					
AR_20895	كرتون	11.5	1010.898542	0	0					
AR_20898	كرتون	6	1868.794878	0	0					
AR_20900	كرتون	14.5	4516.254289	0	0					
AR_20904	كرتون	11	3426.123943	0	0					
AR_20905	كرتون	1	311.465813	0	0					
AR_20906	كرتون	14	4360.521382	0	0					
AR_20907	كرتون	1	311.465813	0	0					
AR_20908	كرتون	7.5	2335.993598	0	0					
AR_20909	كرتون	5.5	1713.061972	0	0					
AR_20910	كرتون	9	2803.192317	0	0					
AR_20911	كرتون	3.5	378.0360745	0	0					
AR_20912	كرتون	9.5	1020.705375	0	0					
AR_20913	كرتون	28	3008.394788	0	0					
AR_20914	كرتون	19	2041.410749	0	0					
AR_20916	كرتون	16.5	1782.170066	0	0					
AR_20918	كرتون	15.5	1674.159759	0	0					
AR_20919	كرتون	19	2052.195833	0	0					
AR_20920	كرتون	27	2916.278289	0	0					
AR_20921	كرتون	0.5	54.0051535	0	0					
AR_20923	كرتون	16.5	792	0	0					
AR_20924	كرتون	26	1248	0	0					
AR_20925	كرتون	12.5	600	0	0					
AR_20926	كرتون	26	1248	1	48					
AR_20927	كرتون	26.5	1272	2	96					
AR_20993	كرتون	66.25	3180	0	0					
AR_20994	كرتون	58	2784	0	0					
AR_20995	كرتون	67	3216	0	0					
AR_20996	كرتون	54.5	2616	0	0					
AR_20997	كرتون	66.75	3204	0	0					
AR_21084	كرتون	20.5	820	0	0					
AR_21085	كرتون	5.5	220	0	0					
AR_21101	كرتون	0	0	2	144					
AR_21115	كرتون	67.25	6287.561481	0	0					
AR_21116	كرتون	31.75	2970.233042	0	0					
AR_21117	كرتون	54	5366.151612	0	0					
AR_21118	كرتون	63.75	6445.875911	0	0					
AR_21119	كرتون	49.5	4960.837134	0	0					
AR_21120	كرتون	70.75	7146.879382	0	0					
AR_21121	كرتون	54.75	5317.119779	0	0					
AR_21122	كرتون	113.5	10962.70066	0	0					
AR_21123	كرتون	90	8260.67799	0	0					
AR_21124	كرتون	127.25	12643.74579	0	0					
AR_21125	كرتون	115.5	11066.2994	0	0					
AR_21126	كرتون	113.75	11000.58653	0	0					
AR_21127	كرتون	125	11792.14663	0	0					
AR_21128	كرتون	120.25	11292.39215	0	0					
AR_21130	كرتون	118	10840.70236	0	0					
AR_21138	كرتون	8.5	813.142946	0	0					
AR_21205	كرتون	0.5	64.178196	0	0					
AR_21260	كرتون	1	125	0	0					
AR_21483	كرتون	0.1	19.2637887	0	0					
AR_21485	كرتون	3.4	680	0	0					
AR_21487	كرتون	0.3	57.2149143	0	0					
AR_21551	كرتون	11	2590.282475	0	0					
AR_21553	كرتون	10.5	1545.339254	0	0					
AR_21586	كرتون	100	5667.8403	0	0					
AR_21587	كرتون	107.75	6107.097923	0	0					
AR_21588	كرتون	122.25	6928.934767	0	0					
AR_21589	كرتون	132.5	7509.888398	0	0					
AR_21590	كرتون	122.75	6957.273968	0	0					
AR_21591	كرتون	121.5	6886.425965	0	0					
AR_21592	كرتون	109	6177.945927	0	0					
AR_21593	كرتون	122	6914.765166	0	0					
AR_21594	كرتون	122	6914.765166	0	0					
AR_21595	كرتون	134	7594.906002	0	0					
AR_21597	كرتون	1.5	381.893409	3	763.786818					
AR_21599	كرتون	0	0	1	193.277429					
AR_21600	كرتون	0	0	2.5	392.5947925					
AR_21611	كرتون	16.5	2435.353157	0	0					
AR_21612	كرتون	13.5	1998.086468	0	0					
AR_21613	كرتون	15	2166.89784	0	0					
AR_21614	كرتون	14.5	2140.158835	0	0					
AR_21615	كرتون	12.5	1850.080063	0	0					
AR_21616	كرتون	12.5	1805.7482	0	0					
AR_21617	كرتون	16.5	2435.353157	0	0					
AR_21618	كرتون	16	2368.10248	0	0					
AR_21619	كرتون	15.5	2239.127768	0	0					
AR_21743	كرتون	2	340.264606	5	850.661515					
AR_21757	كرتون	5	907.557525	3	544.534515					
AR_21774	كرتون	1.25	268.7992563	3	645.118215					
AR_21776	كرتون	3.5	753.117904	10	2151.76544					
AR_21777	كرتون	13.25	2851.089208	9	1936.588896					
AR_21793	كرتون	0.5	87.416207	0	0					
AR_21806	كرتون	0.5	91.2664185	0	0					
AR_21807	كرتون	3.5	687.0397275	0	0					
AR_21808	كرتون	2	223.723584	0	0					
AR_21946	كرتون	6	432	0	0					
AR_21966	كرتون	1	72	0	0					
AR_21993	كرتون	6.5	468	0	0					
AR_22089	كرتون	0.66	116.6099042	0	0					
AR_22091	كرتون	0.9	122.3180523	0	0					
AR_22141	كرتون	0.388	88.98118576	0	0					
AR_22143	كرتون	0.5	113.214989	0	0					
AR_22267	كرتون	3	478.999695	0	0					
AR_22269	كرتون	3.5	420	0	0					
AR_22270	كرتون	1.75	210	0	0					
AR_22272	كرتون	10.25	1230	0	0					
AR_22273	كرتون	4.5	540	0	0					
