		مخزون جده		مخزون الرياض						
رقم الصنف	الوحدة	الكميه	التكلفه	الكميه	التكلفه					
AR_25948	كرتون	2.5	275.085865	4	440.137384					
AR_25949	كرتون	1.5	185.682885	2	247.57718					
AR_25950	كرتون	4.5	485.209368	5	539.12152					
AR_25952	كرتون	2	404.09106	3	606.13659					
AR_25953	كرتون	0.75	147.272904	1.5	294.545808					
AR_25971_96	كرتون	2	492.262302	0	0					
AR_25972	كرتون	8.25	1643.4891	3	597.6324					
AR_25973	كرتون	3	523.480845	0.25	43.62340375					
AR_25975_60	كرتون	2	299.557136	2	299.557136					
AR_25978	كرتون	2	291.475518	0	0					
AR_25981_72	كرتون	2.25	371.631285	1	165.16946					
AR_25989	كرتون	3	1325.394102	2.25	994.0455765					
AR_25992	كرتون	0.125	33.45216275	0	0					
AR_26023	كرتون	4	536.434564	4.5	603.4888845					
AR_26024	كرتون	8	1034.552472	7	905.233413					
AR_26025	كرتون	9.25	1500.123005	3.5	567.61411					
AR_26026	كرتون	10.25	1123.174951	9.5	1040.991418					
AR_26029	كرتون	10.5	1794.888092	3.5	598.2960305					
AR_26052	كرتون	1	123.080692	2	246.161384					
AR_26053	كرتون	1.75	254.8687155	0	0					
AR_26068	كرتون	4	846.776452	4.5	952.6235085					
AR_26072	كرتون	7	1309.522417	3.5	654.7612085					
AR_26075	كرتون	1.25	233.8432888	0.5	93.5373155					
AR_26171	كرتون	5	578.572305	3	347.143383					
AR_26187	كرتون	2	504.558718	1	252.279359					
AR_26189	كرتون	2	302.730694	1	151.365347					
AR_26200	كرتون	1	194.317012	0	0					
AR_26201	كرتون	9	1530.246474	5	850.13693					
AR_26233	كرتون	1.75	379.1026068	2.5	541.5751525					
AR_26238	كرتون	2.5	677.084865	0	0					
AR_26239	كرتون	8.5	2402.968879	6.25	1766.888881					
AR_26240	كرتون	1	1069.081521	2	2138.163042					
AR_26242	كرتون	1	107.193652	0	0					
AR_26266	كرتون	6.5	718.5324445	0	0					
AR_26280	كرتون	3.25	727.8078633	4	895.763524					
AR_26281	كرتون	4.25	951.7487443	4	895.763524					
AR_26282	كرتون	3.25	727.8078633	4	895.763524					
AR_26283	كرتون	3.25	727.8078633	4	895.763524					
AR_26284	كرتون	1.75	487.7075858	7.25	2020.502855					
AR_26313	كرتون	0	0	1	87.957234					
AR_26323	كرتون	3	544.534962	0.5	90.755827					
AR_26339	كرتون	1.25	217.5376375	0	0					
AR_26340	كرتون	0.5	95.716589	0	0					
AR_26341	كرتون	7.5	1370.48691	5	913.65794					
AR_26342	كرتون	0.75	143.5748835	3.5	670.016123					
AR_26343	كرتون	0.25	45.682897	0	0					
AR_26369	كرتون	0	0	1	229.9296					
AR_26372	كرتون	0	0	3.5	471.6411105					
AR_26373	كرتون	5	640.09019	8	1024.144304					
AR_26374	كرتون	2	235.4266	1.5	176.56995					
AR_26375	كرتون	3	353.1399	2.5	294.28325					
AR_26376	كرتون	2.5	298.056	0.5	59.6112					
AR_26377	كرتون	5.75	1162.258448	2.5	505.32976					
AR_26378	كرتون	6.25	1263.3244	4.5	909.593568					
AR_26389	كرتون	0.125	41.40860225	0	0					
AR_26416	كرتون	0	0	1	159.908573					
AR_26426	كرتون	6.875	1005.341611	3	438.694521					
AR_26427	كرتون	8.25	1120.237726	0	0					
AR_26428	كرتون	15	2193.472605	5	731.157535					
AR_26429	كرتون	2.75	466.458652	0	0					
AR_26432	كرتون	0.75	136.7571578	0	0					
AR_26474	كرتون	2.5	386.8395525	0	0					
AR_26475	كرتون	1	185.682941	2	371.365882					
AR_26476	كرتون	0.75	116.0518658	1	154.735821					
AR_26477	كرتون	7	1083.150747	7	1083.150747					
AR_26478	كرتون	5.25	1191.465671	2	453.891684					
AR_26479	كرتون	4	701.469088	2	350.734544					
AR_26480	كرتون	1.5	285.886023	0	0					
AR_26481	كرتون	1.25	225.3606	0	0					
AR_26488	كرتون	0.5	95.295331	0	0					
AR_26514	كرتون	7.9	1316.867084	9.75	1625.247351					
AR_26515	كرتون	10	1666.92036	8	1333.536288					
AR_26519	كرتون	2.15	414.9753593	4.5	868.5530775					
AR_26520	كرتون	2.15	414.9753593	5	965.058975					
AR_26521	كرتون	1.15	221.9635643	3	579.035385					
AR_26522	كرتون	6.4	786.0841984	8.5	1044.018076					
AR_26523	كرتون	0	0	0.5	87.7326445					
AR_26524	كرتون	0	0	1	175.465289					
AR_26533	كرتون	0.5	93.7570715	0	0					
AR_26538	كرتون	3.75	761.7725775	1	203.139354					
AR_26540	كرتون	5.875	1636.877061	7	1950.321604					
AR_26566	كرتون	0	0	2	355.856532					
AR_26567	كرتون	3.75	583.8269663	4	622.748764					
AR_26568	كرتون	2.5	444.820665	0	0					
AR_26569	كرتون	3.5	1120.948	0	0					
AR_26570	كرتون	5.75	1555.092865	0	0					
AR_26574	كرتون	3	547.513668	3.5	638.765946					
AR_26575	كرتون	0	0	0.5	91.252278					
AR_26634	كرتون	0	0	1.3	234					
AR_26677	كرتون	0.75	94.96659075	0	0					
AR_26678	كرتون	0.75	94.96659075	0	0					
AR_26707	كرتون	0.75	89.47747425	0	0					
AR_26708	كرتون	0.75	77.308542	0	0					
AR_26714	كرتون	0.5	85.898371	0	0					
AR_26717	كرتون	0.5	76.3541135	0	0					
AR_26738	كرتون	3	434.931261	0	0					
AR_26739	كرتون	1	151.99796	0	0					
AR_26740	كرتون	7.5	1087.328153	9	1304.793783					
AR_26747	كرتون	0	0	1.9791	618.5000732					
AR_26755	كرتون	0	0	3	530.591877					
AR_26759	كرتون	4.75	2132.786205	8.5	3816.564787					
AR_26760	كرتون	4.75	1444.808887	4	1216.681168					
AR_26761	كرتون	2.75	1294.532723	5	2353.69586					
AR_26762	كرتون	4.74	1098.502717	1	231.751628					
AR_26764	كرتون	0.75	87.68586375	0	0					
AR_26772	كرتون	1.25	182.5045563	2.25	328.5082013					
AR_26828	كرتون	0	0	1	186.288311					
AR_26829	كرتون	4	288	0	0					
AR_26830	كرتون	11	2101.714648	0	0					
AR_26832	كرتون	2	334.363584	0	0					
AR_26882	كرتون	2	226.826222	0	0					
AR_26885	كرتون	2.5	181.690805	0	0					
AR_26891	كرتون	4.5	612.4304925	0	0					
AR_26892	كرتون	3.5	476.3348275	0	0					
AR_26898	كرتون	24	3057.038616	0	0					
AR_26899	كرتون	25	3402.391625	0	0					
AR_26900	كرتون	13.5	1837.291478	0	0					
AR_26902	كرتون	2	306.215218	0	0					
AR_26903	كرتون	1	153.107609	0	0					
AR_26932	كرتون	10.5	1604.945276	5.25	802.4726378					
AR_26933	كرتون	6.5	1086.681648	6	1003.090752					
AR_26934	كرتون	12.5	2089.7724	6	1003.090752					
AR_26945	كرتون	1	166.275069	0	0					
AR_27107	كرتون	6.5	1513.091242	5.5	1280.307974					
AR_27108	كرتون	7	1629.482876	7	1629.482876					
AR_27109	كرتون	7	1611.117214	6.5	1496.037413					
AR_27115	كرتون	3	757.645725	2.5	631.3714375					
AR_27116	كرتون	4.25	994.4810493	4.5	1052.979935					
AR_27117	كرتون	2.25	536.362092	2.5	595.95788					
AR_27119	كرتون	4.25	817.168835	5.5	1057.51261					
AR_27120	كرتون	3.5	724.052924	3.5	724.052924					
AR_27121	كرتون	3.75	812.975535	3.5	758.777166					
AR_27122	كرتون	0.75	182.0243033	5.5	1334.844891					
AR_27124	كرتون	9.5	2154.583423	9	2041.184295					
AR_27177	كرتون	1	175.377446	1.5	263.066169					
AR_28128	كرتون	0	0	2	301.390236					
AR_28137	كرتون	6.4	1507.780941	2.76	650.2305307					
AR_28139	كرتون	4	810.428104	3.83334	776.661617					
AR_28150	كرتون	2	278.260288	0	0					
AR_28205	كرتون	1.5	330	0	0					
AR_28219	كرتون	7	1117.220804	3	478.808916					
AR_28234	كرتون	7.375	4782.947255	1.75	1134.936637					
AR_28235	كرتون	0	0	1	626.563527					
AR_28236	كرتون	1.5	957.422646	3.625	2313.771395					
AR_28237	كرتون	4	2590.625412	1	647.656353					
AR_28244	كرتون	0.5	99.748295	2	398.99318					
AR_28247	كرتون	1.25	232.6675488	3	558.402117					
AR_28248	كرتون	0	0	3	598.48977					
AR_28258	كرتون	1.5	230.3324475	3	460.664895					
AR_28260	كرتون	2.75	592.3078205	2	430.769324					
AR_28261	كرتون	1.75	331.484559	3.5	662.969118					
AR_28262	كرتون	5.5	740.8729735	4	538.816708					
AR_28263	كرتون	2.5	336.7604425	2	269.408354					
AR_28264	كرتون	0	0	1	229.024002					
AR_28265	كرتون	0	0	2	358.455604					
AR_28307_24	كرتون	0.5	40	0	0					
AR_28316	كرتون	1.75	300.8174575	0	0					
AR_28322	كرتون	1	162.831069	0	0					
AR_28325	كرتون	1	163.769695	0	0					
AR_28347	كرتون	5.25	1016.822798	0	0					
AR_28351	كرتون	0.25	48.42013325	0	0					
AR_28362	كرتون	3	521.088543	0	0					
AR_28366	كرتون	3.61	1042.201654	0	0					
AR_28367	كرتون	9.5	2034.544368	4.5	963.7315425					
AR_28368	كرتون	0.5	90	0	0					
AR_28416	كرتون	1	145.98382	0	0					
AR_28469	كرتون	5	1288.472615	4.5	1159.625354					
AR_28470	كرتون	4	1033.67124	4.5	1162.880145					
AR_28473	كرتون	0	0	3	686.686065					
AR_28474	كرتون	1	288.239013	2	576.478026					
AR_28515	كرتون	11	241.876943	19	417.787447					
AR_28516	كرتون	1	20.435286	0	0					
AR_28517	كرتون	0	0	1	23.787061					
AR_28518	كرتون	0	0	5	114.492805					
AR_28519	كرتون	20	500.04012	25	625.05015					
AR_28520	كرتون	19	463.641591	15	366.032835					
AR_28521	كرتون	37	925.074222	32	800.064192					
AR_28522	كرتون	21	512.445969	26	634.456914					
AR_28523	كرتون	37	925.074222	32	800.064192					
AR_28524	كرتون	28	683.261292	26	634.456914					
AR_28525	كرتون	21	518.744058	21	518.744058					
AR_28526	كرتون	18	436.48929	26	630.48453					
AR_28527	كرتون	14	264.941124	11	208.168026					
AR_28528	كرتون	19	356.678146	20	375.45068					
AR_28529	كرتون	59	1205.961357	61	1246.841403					
AR_28530	كرتون	68	1379.770728	40	811.62984					
AR_28556	كرتون	0	0	0.5	108.0067365					
AR_28559	كرتون	0.5	75.1006335	0	0					
AR_28560	كرتون	1.5	291.7577805	0	0					
AR_28562	كرتون	13	2563.656758	6	1183.226196					
AR_28563	كرتون	3	453.51288	0	0					
AR_28565	كرتون	7.5	1134.49836	10	1512.66448					
AR_28566	كرتون	6	1267.642056	0	0					
AR_28567	كرتون	3.25	488.5654215	0	0					
AR_28568	كرتون	1	230.031426	0	0					
AR_28570	كرتون	9.75	2242.806404	11	2530.345686					
AR_28571	كرتون	4	655.07878	8	1310.15756					
AR_28572	كرتون	5	968.88094	5	968.88094					
AR_28573	كرتون	9	1743.985692	15	2906.64282					
AR_28603	كرتون	0.5	102.454208	0	0					
AR_28618	كرتون	2	302.397672	0	0					
AR_28619	كرتون	2.5	359.9999675	0	0					
AR_28620	كرتون	6.75	1139.045416	4.5	759.3636105					
AR_28621	كرتون	7.25	1174.479055	3.5	566.9898885					
AR_28626	كرتون	4	647.988444	3	485.991333					
AR_28627	كرتون	3	550.780977	0	0					
AR_28628	كرتون	1	215.999981	3	647.999943					
AR_28638	كرتون	0	0	1	144.977087					
AR_28641	كرتون	6	1957.19067	1	326.198445					
AR_28642	كرتون	6	1957.19067	1	326.198445					
AR_28643	كرتون	3	978.595335	1	326.198445					
AR_28644	كرتون	4	1304.79378	1	326.198445					
AR_28647	كرتون	0.75	430.6172018	0	0					
AR_28651	كرتون	0.5	135.640866	0	0					
AR_28670	كرتون	8.25	1974.391114	3	717.960405					
AR_28671	كرتون	5.75	1406.795391	1.33334	326.2150551					
AR_28672	كرتون	2	390.00062	0	0					
AR_28674	كرتون	5.75	1345.528658	2	468.009968					
AR_28675	كرتون	2	478.64027	0	0					
AR_28676	كرتون	8	1957.280544	4.75	1162.135323					
AR_28677	كرتون	5.5	1257.794087	2	457.379668					
AR_28679	كرتون	1	486.432788	3.5	1702.514758					
AR_28680	كرتون	0.25	75.3098065	0	0					
AR_28683	كرتون	7.5	1761.884723	8	1879.343704					
AR_28684	كرتون	3	704.753889	7	1644.425741					
AR_28685	كرتون	3	817.792947	6	1635.585894					
AR_28711	كرتون	3	1050	0	0					
AR_28717	كرتون	2	520.008514	0	0					
AR_28721	كرتون	3.5	757.9094985	1	216.545571					
AR_28736	كرتون	1	154.830459	8.83334	1367.670087					
AR_28737	كرتون	7	1047.626419	7	1047.626419					
AR_28738	كرتون	6	897.965502	6	897.965502					
AR_28739	كرتون	8.5	1272.117795	7.75	1159.872107					
AR_28740	كرتون	7	1047.626419	7	1047.626419					
AR_28741	كرتون	8	1197.287336	8.66667	1297.06178					
AR_28745	كرتون	1	142.533658	0	0					
AR_28754	كرتون	0.04167	5.939377529	0	0					
AR_28756	كرتون	1	156.788177	0.00067	0.105048079					
AR_28757	كرتون	4	627.152708	0.66667	104.525974					
AR_28758	كرتون	0.5	78.3940885	0.00334	0.523672511					
AR_28759	كرتون	0	0	0.83334	130.6578594					
AR_28761	كرتون	4	627.152708	0.000006	0.000940729					
AR_28762	كرتون	4	627.152708	2	313.576354					
AR_28834	كرتون	7.5	1573.112213	4.5	943.8673275					
AR_28835	كرتون	7.5	1603.07877	2.5	534.35959					
AR_28837	كرتون	6.875	2846.776591	6	2484.45957					
AR_28838	كرتون	0.875	287.3995171	0.5	164.2282955					
AR_28839	كرتون	7	1684.596214	4.5	1082.954709					
AR_28840	كرتون	9.5	1191.314621	8	1003.212312					
AR_28846	كرتون	1	174.79824	0	0					
AR_28847	كرتون	0	0	0.5	230.1791575					
AR_28850	كرتون	0	0	4	1388.417448					
AR_28852	كرتون	1.5	192.0355425	0	0					
AR_28853	كرتون	3	441.948108	2	294.632072					
AR_28854	كرتون	4.875	1444.910615	5	1481.959605					
AR_28891	كرتون	1	106.89736	0	0					
AR_28899	كرتون	2.25	508.3219328	1.5	338.8812885					
AR_28900	كرتون	6.75	1524.965798	5.5	1242.564725					
AR_28901	كرتون	5.75	1299.044939	6.5	1468.485584					
AR_28902	كرتون	3.25	734.2427918	2.33334	527.1501771					
AR_28903	كرتون	3.5	693.472934	2	396.270248					
AR_28913	كرتون	6	1371.613524	2	457.204508					
AR_28914	كرتون	2.75	477.8372803	1	173.759011					
AR_28915	كرتون	2.75	657.0499513	2.50334	598.1161545					
AR_28916	كرتون	0.75	154.7616578	0.5	103.1744385					
AR_28917	كرتون	4.75	1184.952233	6.5	1621.513582					
AR_28918	كرتون	2	289.59835	0	0					
AR_28919	كرتون	12.5	1808.289063	13	1880.620625					
AR_28920	كرتون	12.5	1885.3696	13	1960.784384					
AR_28921	كرتون	17	2469.660975	18	2614.93515					
AR_28922	كرتون	23	3596.855713	22	3440.470682					
AR_28923	كرتون	23	3127.922697	20	2719.93278					
AR_28924	كرتون	9	2024.949798	9	2024.949798					
AR_28926	كرتون	3	618.984522	7	1444.297218					
AR_28927	كرتون	0.5	71.903612	0	0					
AR_28929	كرتون	2.5	438.19559	2	350.556472					
AR_28930	كرتون	2.5	445.42615	1	178.17046					
AR_28931	كرتون	2	309.354902	1	154.677451					
AR_28933	كرتون	2	283.754116	1	141.877058					
AR_28935	كرتون	62.5	7511.376188	53	6369.647007					
AR_28936	كرتون	12	1566.848976	7.5	979.28061					
AR_28937	كرتون	4	530.8428	4.5	597.19815					
AR_28938	كرتون	96	11203.4927	57.5	6710.425318					
AR_28939	كرتون	10	1310.70748	7.5	983.03061					
AR_28940	كرتون	6.5	878.86955	4.5	608.44815					
AR_28941	كرتون	92.5	10780.36736	64	7458.848768					
AR_28942	كرتون	17.5	2293.73809	9	1179.636732					
AR_28943	كرتون	20.5	2771.81935	9	1216.8963					
AR_28947	كرتون	0	0	2	400.86838					
AR_28968	كرتون	3	417.813096	0	0					
AR_28980	كرتون	0	0	1	152.306405					
AR_28981	كرتون	0	0	1	152.306405					
AR_28982	كرتون	2	267.941172	3	401.911758					
AR_28983	كرتون	2	287.078134	3	430.617201					
AR_28985	كرتون	2	287.078134	3	430.617201					
AR_28986	كرتون	2	287.078134	3	430.617201					
AR_28987	كرتون	2	264.941172	3	397.411758					
AR_28996	كرتون	0	0	1	203.075206					
AR_29063	كرتون	6.5	1771.884719	4	1090.390596					
AR_29068	كرتون	4.5	1050.08364	4	933.40768					
AR_29069	كرتون	3.5	653.6759705	4.5	840.4405335					
AR_29070	كرتون	2	492.90421	1.5	369.6781575					
AR_29076	كرتون	0	0	1.5	356.250501					
AR_29077	كرتون	2.75	563.3625773	2.5	512.1477975					
AR_29078	كرتون	3.75	773.2878263	1.5	309.3151305					
AR_29095	كرتون	6.25	3718.006994	3	1784.643357					
AR_29099	كرتون	10.5	2422.684079	3.5	807.5613595					
AR_29122	كرتون	2.5	923.76893	3.6805562	1359.993385					
AR_29168	كرتون	0	0	0.01	1.67148628					
AR_29169	كرتون	3.9	631.817628	2.5	405.0113					
AR_29197	كرتون	1.75	403.99086	0	0					
AR_29200	كرتون	2.75	634.84278	0	0					
AR_29202	كرتون	9.5	2341.294998	6.5	1601.938683					
AR_29212	كرتون	2.5	501.9679775	0	0					
AR_29240	كرتون	0	0	1	254.780382					
AR_29241	كرتون	0	0	1	226.463634					
AR_29244	كرتون	0	0	3.25	662.4213733					
AR_29245	كرتون	0	0	0.5833	128.7996454					
AR_29246	كرتون	0	0	1.75	386.4210175					
AR_29247	كرتون	0	0	0.5	101.9109805					
AR_29249	كرتون	0	0	0.5	110.406005					
AR_29250	كرتون	0	0	2.75	560.5103928					
AR_29251	كرتون	0	0	3.25	717.6390325					
AR_29252	كرتون	0	0	0.5	110.406005					
AR_4813	كرتون	0.8	150.4	0	0					
AR_4886	كرتون	0.9	145.584	0	0					
AR_M201	كرتون	26.75	1759.88563	24	1578.962808					
AR_M202	كرتون	56.5	3409.009595	52.5	3167.663783					
AR_M203	كرتون	12.5	826.685875	9	595.21383					
AR_M204	كرتون	7.75	396.2755653	8.5	434.6248135					
AR_M205	كرتون	33.75	2209.749289	26	1702.325378					
AR_M206	كرتون	22	1280.597626	27	1571.642541					
AR_M207	كرتون	5	303.81105	5	303.81105					
AR_M208	كرتون	8	416.89768	5	260.56105					
AR_M209	كرتون	3	182.28663	2	121.52442					
AR_M213	كرتون	38.5	2489.452543	43.5	2812.758068					
AR_M214	كرتون	3.75	261.3978938	11	766.767155					
AR_M215	كرتون	35.75	2363.114504	31	2049.134255					
AR_M216	كرتون	33.75	2206.612294	45	2942.149725					
AR_M217	كرتون	8	566.81768	19	1346.19199					
AR_M218	كرتون	17	1122.539274	15	990.47583					
AR_M219	كرتون	30.25	1991.596294	31.5	2073.893661					
AR_M220	كرتون	0	0	1	62.443861					
AR_M221	كرتون	5.75	375.9413538	6	392.28663					
AR_M222	كرتون	7.75	489.9248138	16	1011.45768					
AR_M224	كرتون	36	2393.290152	66	4387.698612					
AR_M225	كرتون	11.75	768.2279838	24	1569.14652					
AR_M226	كرتون	19.75	1321.722397	28.5	1907.295611					
BA_1006	كرتون	11	1100	0	0					
BA_1007	كرتون	13	1365	0	0					
BA_1008	كرتون	10	1050	0	0					
BA_1009	كرتون	14	1470	0	0					
BA_35760-A	كرتون	1.41667	262.08395	0	0					
BA_4001	كرتون	0.5	133.4968915	0	0					
BA_4001_A	كرتون	0	0	1	329.999623					
BA_4002_A	كرتون	1	299.5	0	0					
BA_4004_72	كرتون	0.25	50.5	0	0					
BA_4006	كرتون	2.625	1392.5625	0	0					
BA_5050	كرتون	1	115	0	0					
BA_5050_1_36/35	كرتون	9	1026	0	0					
BA_5050_1_40/39	كرتون	7	798	0	0					
BA_5050_2_36/35	كرتون	11	1265	0	0					
BA_5050_2_38/37	كرتون	16	1840	0	0					
BA_5050_2_40/39	كرتون	8	1000	0	0					
BA_5050_3_38/37	كرتون	13	1625	0	0					
BA_5050_4_36/35	كرتون	4	500	0	0					
BA_5050_4_38/37	كرتون	14	1750	0	0					
BA_5050_4_40/39	كرتون	4	500	0	0					
BA_5050_5_40/39	كرتون	7	875	0	0					
BA_5051_1_43/42	كرتون	2	300	0	0					
BA_5051_1_45/44	كرتون	1.5	206.2267605	0	0					
BA_5053	كرتون	1	171.6	0	0					
BA_5053_1_41/40	كرتون	10	1960.36364	0	0					
BA_5053_1_43/42	كرتون	7	1402.8	0	0					
BA_5053_1_45/44	كرتون	11	2239.6	0	0					
BA_5053_2_41/40	كرتون	3	630	0	0					
BA_5053_2_43/42	كرتون	2	420	0	0					
BA_5053_2_45/44	كرتون	2	420	0	0					
BA_5053_3_39/38	كرتون	3	514.8	0	0					
BA_5053_3_41/40	كرتون	4	840	0	0					
BA_5053_4_37/36	كرتون	3	601.2	0	0					
BA_5053_4_39/38	كرتون	4	747.84	0	0					
BA_5053_5_39/38	كرتون	2	368.8	0	0					
BA_5053_6_37/38	كرتون	1	171.6	0	0					
BA_5054	كرتون	3	329.962818	0	0					
BA_7152	كرتون	0.5	200.25	0	0					
BA_7188	كرتون	3	1095	4.5	1642.5					
BA_7192	كرتون	0.25	91.25	1.5	547.5					
BA_7237	كرتون	0.125	54.1875	0	0					
BA_7239	كرتون	2	1090	1	545					
BA_7242	كرتون	3.25	1417	2.25	981					
BA_7254	كرتون	0	0	1	664					
BA_7256	كرتون	0.5	254.75	2.5	1273.75					
BA_7258	كرتون	0.25	127.375	0	0					
BA_7259	كرتون	0	0	1	340					
BA_7268	كرتون	0.5	254.75	1.75	891.625					
BA_7269	كرتون	6.5	5102.5	6.5	5102.5					
BA_7270	كرتون	0.25	73.5	2	588					
BA_7271	كرتون	0	0	4	360					
BA_7272	كرتون	0	0	3	540					
BA_7274	كرتون	0	0	2	272					
BA_7275	كرتون	35.5	5307.25	2	299					
BA_7276	كرتون	0	0	2	288					
BA_7277	كرتون	0	0	2	288					
BA_7279	كرتون	6.5	5655	0	0					
BA_7280	كرتون	10	4450	0	0					
BA_7283	كرتون	23	3450	0	0					
EAK_300030	كرتون	1.875	609.375	0	0					
EAK_300033	كرتون	1.625	459.0625	0	0					
EAK_300034	كرتون	2.5	706.25	0	0					
EAK_300039	كرتون	2.75	632.48625	0.5	114.9975					
EAK_300040	كرتون	1	250	0	0					
EAQ_200004	كرتون	10	1750	0	0					
GLS17PP	كرتون	0	0	3	277.5					
IBQ_200008	كرتون	12	2040	0	0					
IBQ_200040	كرتون	16	1600	0	0					
MS_111_Y	كرتون	10	2700	0	0					
MS_112_T	كرتون	23	6210	0	0					
MS_113_T	كرتون	52	11440	0	0					
MS_114-Y	كرتون	4	880	0	0					
MS_3000-S	كرتون	2.5	170	0	0					
MS_3012	كرتون	0	0	5	577.5					
MS_3019	كرتون	0	0	6	693					
MS_3030	كرتون	0	0	4	527.990248					
MS_306_Y	كرتون	6	1350	0	0					
MS_307_T	كرتون	10	2300	0	0					
MS_4000-S	كرتون	19	1292	0	0					
OGS230054	كرتون	0	0	0.34	163.4924					
OGS230057	كرتون	0	0	0.24	115.4064					
OGS230058	كرتون	0	0	0.26	125.0236					
OGS230059	كرتون	0	0	0.24	115.4064					
OGS230060	كرتون	0	0	0.22	105.7892					
OGS230071	كرتون	0.76	365.4536	0	0					
OGS230078	كرتون	0	0	0.24	115.4064					
OGS230079	كرتون	0	0	0.22	105.7892					
OGS_00001	كرتون	0	0	0.48	259.8645931					
OGS_00002	كرتون	59	26831.01924	4.47	2032.79078					
OGS_00004	كرتون	3	600	0	0					
OGS_00005	كرتون	3	600	2	400					
OGS_00020	كرتون	10	4119.18795	0	0					
OGS_230001	كرتون	5.7	2560.739039	6.1	2740.440024					
OGS_230002	كرتون	8.5	3839.72557	4.4	1987.622648					
OGS_230003	كرتون	11.8	5366.203848	1.8	818.5734684					
OGS_230004	كرتون	4.9	2223.383585	4.9	2223.383585					
OGS_230005	كرتون	7.2	3274.293874	6.067	2759.047352					
OGS_230006	كرتون	13.46	6107.498582	0.2667	121.0155923					
OGS_230007	كرتون	12.4	5625.924578	3.56667	1618.211001					
OGS_230008	كرتون	4.2	1894.228161	4.03334	1819.063384					
OGS_230009	كرتون	3.3	1427.298626	3.33367	1441.861397					
OGS_230010	كرتون	11.2	4844.165032	0.86668	374.8518705					
OGS_230012	كرتون	3.06667	1326.379962	0	0					
OGS_230014	كرتون	4.7	2032.819255	0.16667	72.08723088					
OGS_230015	كرتون	4.13367	1787.873185	2.16667	937.1167009					
OGS_230016	كرتون	13.667	5911.178883	11.23335	4858.589398					
OGS_230017	كرتون	9.567	4305.15	6.36667	2865.0015					
OGS_230018	كرتون	14.8334	6675.03	4.36667	1965.0015					
OGS_230019	كرتون	8.2	3690	5.53334	2490.003					
OGS_230020	كرتون	13	5850	0.3	135					
OGS_230021	كرتون	4.96667	2235.0015	0	0					
OGS_230022	كرتون	12.4	5290.875536	6.03334	2574.326694					
OGS_230023	كرتون	5.5	2373.148146	0.03333	14.38127776					
OGS_230024	كرتون	12.56666	5387.540536	9.33334	4001.361347					
OGS_230025	كرتون	4.03333	1722.23191	1.06667	455.46809					
OGS_230026	كرتون	12.63334	5464.105702	3.23334	1398.467193					
OGS_230027	كرتون	12.46666	5392.014146	9.23367	3993.698333					
OGS_230028	كرتون	10.96654	4934.943	6.93334	3120.003					
OGS_230030	كرتون	0.06	34.8	0	0					
OGS_230031	كرتون	0.06	34.8	0	0					
OGS_230034	كرتون	0	0	0.04	28					
OGS_230035	كرتون	1.34	938	0	0					
OGS_230038	كرتون	0.44	352	0	0					
OGS_230040	كرتون	6.975	3262.599969	0	0					
OGS_230041	كرتون	4.6	2151.678833	3.925	1835.943352					
OGS_230042	كرتون	7.55	3531.559823	3.325	1555.289591					
OGS_230043	كرتون	6.85	3204.130436	3.7	1730.698192					
OGS_230044	كرتون	5.6	1637.146935	0	0					
OGS_230045	كرتون	1.08	315.7354804	0	0					
OGS_230046	كرتون	13.72	4011.009991	0	0					
OGS_230047	كرتون	3.48	1017.369881	0	0					
OGS_230048	كرتون	5.92	1730.698189	0	0					
OGS_230051	كرتون	0	0	0	0					
OGS_230055	كرتون	0	0	0.02	11.6001					
OGS_230056	كرتون	0	0	0.02	11.18610118					
OGS_230061	كرتون	2.64	1531.2	0	0					
OGS_230062	كرتون	0	0	0	0					
OGS_230063	كرتون	0.32	185.3888	0	0					
OGS_230064	كرتون	0	0	0	0					
OGS_230066	كرتون	0	0	0.04	22.0962698					
OGS_230066_48	كرتون	0	0	0.5875	280.9160625					
OGS_230067	كرتون	10.88	6310.72628	0.5	290.0149945					
OGS_230068	كرتون	1.98	1148.4	0	0					
OGS_230069	كرتون	11.64	6751.2	0.86	498.8					
OGS_230070	كرتون	2.48	1438.4	0	0					
OGS_230071	كرتون	1.72	997.6	0	0					
OGS_230072	كرتون	5.64	3271.2	1.1	638					
OGS_230073	كرتون	0	0	0	0					
OGS_230074	كرتون	2.88	1630.665714	0	0					
OGS_230075	كرتون	3.54	2004.35994	0	0					
OGS_230080	كرتون	0.36	193.8996425	0	0					
OGS_230083	كرتون	0.86	497.8203129	0	0					
OGS_230084	كرتون	0	0	0	0					
OGS_230087	كرتون	0	0	0	0					
OGS_230087_48	كرتون	0	0	0.0202	9.658731					
OGS_230091	كرتون	1.86	899.2668461	0	0					
OGS_230092	كرتون	0	0	0	0					
OGS_230093	كرتون	0.46	247.7606543	0	0					
OGS_230094	كرتون	0.22	118.494226	0	0					
OGS_230095	كرتون	0.84	452.4324991	0	0					
OGS_230096	كرتون	0	0	0	0					
OGS_230098	كرتون	0.1	53.8610118	0	0					
OGS_230099	كرتون	3.76667	1629.140277	3.63333	1571.468762					
OGS_230100	كرتون	4.6	1989.567781	3.9	1686.807467					
OGS_230101	كرتون	2.8	1211.041258	0.6	259.508841					
OGS_230102	كرتون	4.8	2076.070728	3.66667	1585.888803					
OGS_230103	كرتون	2	865.02947	0	0					
