رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
AR_25253	علب حلويات	كرتون	5	60			
AR_25626	شنط قهوه صغير	كرتون	5	72			
AR_25629	شنط قهوه كبير	كرتون	4.5	48			
AR_25818	شريط لاصق حمايه الاثاث	كرتون	5.5	72			
AR_25919	مجموعه قرطاسية 5 في 1	كرتون	6	60			
AR_25921	دباسه	كرتون	6	60			
AR_25923	صمغ مع دبابيس	كرتون	5	80			
AR_25924	دفتر نوته مع قلم حبر ملون	كرتون	3	72			
AR_25929	قرطاسية اقلام رصاص	كرتون	3.5	60			
AR_25931	قرطاسية اقلام حبر اسود	كرتون	5.5	60			
AR_25934	مقلميه	كرتون	3	72			
AR_25940	الواح تلوين خشبيه	كرتون	2.5	96			
AR_25941	الواح تلوين خشبيه	كرتون	4.5	96			
AR_25948	تغريسات خشبيه	كرتون	3	48			
AR_25950	تغريسات خشبيه	كرتون	4	48			
AR_25952	سبورة اطفال	كرتون	3	60			
AR_25972	دفتر تلوين مع الوان مائية + شمعية	كرتون	3	60			
AR_25989	قبعة سباحة	كرتون	2.25	120			
AR_26023	دفاتر رسم	كرتون	4.5	60			
AR_26024	دفاتر رسم	كرتون	7	60			
AR_26025	دفاتر شخصيات بقفل	كرتون	3.5	60			
AR_26026	دفاتر شخصيات 2 حبه	كرتون	9.5	60			
AR_26068	قفل امان ادراج للأطفال 4 حبة	كرتون	4.5	72			
AR_26072	قفل امان ادراج للأطفال 3 حبة	كرتون	3.5	72			
AR_26171	لوحات جداريه	كرتون	3	48			
AR_26201	قالب تارت اسود دائري 28 سم	كرتون	5	72			
AR_26233	فواحات عطريه	كرتون	2.5	72			
AR_26239	معطر خزانه ملابس	كرتون	6.25	96			
AR_26280	تعليقة خشبية	كرتون	4	72			
							
AR_26281	تعليقة خشبية	كرتون	4	72			
AR_26282	تعليقة خشبية	كرتون	4	72			
AR_26283	تعليقة خشبية	كرتون	4	72			
AR_26284	لوحه خشبية ستاند	كرتون	7.25	96			
AR_26341	مجموعة عدد مفكات	كرتون	5	60			
AR_26342	مجموعة عدد مفكات	كرتون	3.5	60			
AR_26373	تباسي خشب 17*29	كرتون	8	48			
AR_26375	تباسي تقديم البيتزاء	كرتون	2.5	48			
AR_26377	عازل حراري خشبي بمسكه	كرتون	2.5	72			
AR_26378	عازل حراري خشبي بمسكه	كرتون	4.5	72			
AR_26426	اكياس نفايات اسود 60*50 3رول	كرتون	3	48			
AR_26477	كتب اطفال تعليمية	كرتون	7	72			
AR_26514	سفرة طاولة	كرتون	9.75	60			
AR_26515	سفر طاولة	كرتون	8	60			
AR_26519	غطاء غسالة 85*62*55 سم	كرتون	3.5	60			
AR_26520	غطاء غسالة 89*46*75 سم	كرتون	3	60			
AR_26521	غطاء غسالة 85*58*55 سم	كرتون	3	60			
AR_26522	مفارش ثلاجة	كرتون	8.5	60			
AR_26540	شنط قماش	كرتون	7	120			
AR_26574	حبل زينة 280 متر 200 جرام	كرتون	3	72			
AR_26740	مخدات كرسي	كرتون	9	48			
AR_26759	علب هدايا طفوليه كبير	كرتون	8.5	100			
AR_26760	علب هدايا طفوليه صغير	كرتون	3	100			
AR_26761	علب هدايا طفوليه كبير	كرتون	5	100			
AR_26932	ملفات بلاسيتك	كرتون	5.25	60			
AR_26933	ملفات بلاسيتك	كرتون	6	60			
AR_26934	ملفات بلاسيتك	كرتون	6	60			
AR_27107	سكاكين فواكه 6 قطع	كرتون	5.5	72			
AR_27108	سكاكين فواكه 12 قطعه	كرتون	7	72			
AR_27109	سكاكين فواكه 12 قطعه	كرتون	5.5	72			
AR_27115	مشن زيت بمقبض بلاستيك 20سم	كرتون	2.5	72			
AR_27116	مشن زيت مقبض بلاستيك 18سم	كرتون	4.5	72			
AR_27117	مشن زيت مقبض بلاستيك 16سم	كرتون	2.5	72			
AR_27119	مشن زيت 14 سم	كرتون	5.5	72			
AR_27120	مشن زيت 16 سم	كرتون	3.5	72			
AR_27121	مشن زيت 18 سم	كرتون	3.5	72			
AR_27122	مشن زيت 20 سم	كرتون	2.5	72			
AR_28139	حزام مطاطي لتمارين اليوغا	كرتون	3.83334	72			
AR_28234	صحون حديد بروست 35.5*26.5	كرتون	3.75	200			
AR_28236	صحون حديد بروست 35.5*26.5	كرتون	2.625	200			
AR_28258	رول فرشة طاولة	كرتون	3	48			
AR_28261	رول فرشة ادراج 45*150 سم	كرتون	3.5	72			
AR_28262	رول فرشة ادراج 4حبه	كرتون	4	48			
							
AR_28367	بالون مع استاند 20 حبة	كرتون	3.5	72			
AR_28470	صحون تقديم بغطاء صغير	كرتون	2.5	72			
AR_28515	احجار زينة	كرتون	6	8			
AR_28519	احجار زينة	كرتون	11	8			
AR_28521	احجار زينة	كرتون	19	8			
AR_28522	احجار زينة	كرتون	11	4			
AR_28523	احجار زينة	كرتون	19	8			
AR_28524	احجار زينة	كرتون	11	4			
AR_28525	احجار زينة	كرتون	16	8			
AR_28526	احجار زينة	كرتون	11	4			
AR_28528	احجار زينة	كرتون	5	4			
AR_28529	احجار زينة	كرتون	48	8			
AR_28530	احجار زينة	كرتون	15	4			
AR_28565	لصق عازل كهربائي	كرتون	10	48			
AR_28570	شريط  تفلون للسباكه 8 قطع	كرتون	8	72			
AR_28572	لصق شفاف صغيره 15 حبه	كرتون	5	60			
AR_28573	لصق شفاف صغيره 10 حبه	كرتون	9	60			
AR_28620	اكياس 5 حبة شخصيات 22*11*23	كرتون	4.5	60			
AR_28621	اكياس 4 حبة شخصيات 27*29*11	كرتون	3.5	60			
AR_28670	العاب تعليم مغناطيسي	كرتون	3	72			
AR_28676	العاب تعليم	كرتون	4.75	72			
AR_28679	العاب	كرتون	3.5	144			
AR_28683	شنطة خصر الرياضة مطاط	كرتون	8	72			
AR_28684	شنط خصر الرياضة	كرتون	7	72			
AR_28685	شنط خصر	كرتون	5	72			
AR_28736	اكواب زجاج شخصيات	كرتون	2.83334	48			
AR_28737	اكواب زجاج شخصيات	كرتون	6	48			
AR_28738	اكواب زجاج شخصيات	كرتون	4	48			
AR_28739	اكواب زجاج شخصيات	كرتون	5.75	48			
AR_28740	اكواب زجاج شخصيات	كرتون	5	48			
AR_28741	اكواب زجاج شخصيات	كرتون	5.66667	48			
AR_28834	استاند تقديم قدور اسود 22سم	كرتون	4.5	60			
AR_28835	استاند تقديم قدور اسود 25سم	كرتون	2.5	60			
AR_28837	رف حمام تعليق ذهبي	كرتون	6	120			
AR_28839	سلة تقديم اسود مدورة مقعرة	كرتون	4.5	80			
AR_28840	سله تقديم اسود مدور	كرتون	8	48			
AR_28854	علاق جداري حديد اسود	كرتون	3	96			
AR_28900	كوب زجاجي بغطاء+ملعقه تحريك	كرتون	5.5	36			
AR_28901	كوب زجاجي بغطاء+ملعقة تحريك	كرتون	6.5	36			
AR_28902	كوب زجاجي بغطاء + ملعقة تحريك	كرتون	2.33334	36			
AR_28917	عدة منحوتات	كرتون	3	72			
AR_28921	برطمان زجاج مدور 460 مل	كرتون	5.5	60			
AR_28936	براد شاي ml1500 سادة	كرتون	4.5	24			
							
AR_28939	براد شاي ml1500 مشجر	كرتون	7.5	24			
AR_28940	براد شاي ml1800 مشجر	كرتون	3.5	24			
AR_28942	براد شاي ml1500 مشجر	كرتون	8	24			
AR_28943	براد شاي ml1800 مشجر	كرتون	8	24			
AR_28982	اكواب بلاستيك شفاف بمقبض 6 قطع	كرتون	3	36			
AR_29063	منفضه غبار	كرتون	4	72			
AR_29068	مشن طحين	كرتون	3	72			
AR_29069	مفكات علب 2 حبة	كرتون	4.5	72			
AR_29095	ميزان شنطة سفر	كرتون	3	100			
AR_29099	ميزان مطبخ رقمي مع وعاء	كرتون	3.5	40			
AR_29122	سرير اطفال	كرتون	2.6805562	72			
AR_29202	حبل غسيل مقاوم للرياح 10 م	كرتون	5	72			
AR_29244	اكياس	كرتون	2.5	72			
AR_29250	اكياس	كرتون	2.25	72			
AR_29251	اكياس	كرتون	2.75	72			
BA_202	كاسات اسود 16 اونص	كرتون	3	20			
BA_7269	مناشف جسم 54*27 - ملون	كرتون	5	120			
GLS17PP	كوب دائري كبير	كرتون	3	30			
IBQ_200028	شريط لاصق	كرتون	5	144			
MS_3012	برطمان 500 مل دائري - غطاء اصفر	كرتون	5	42			
MS_3019	برطمان 500 مل مربع - غطاء اصفر	كرتون	6	42			
MS_3030	برطمانات 750 مل مربع - غطاء اصفر	كرتون	4	48			
OGS_230002	مجات 750ml راقي	كرتون	3.4	30			
OGS_230004	مجات 750ml راقي	كرتون	2.4	30			
OGS_230005	مجات 750ml راقي	كرتون	3.567	30			
OGS_230007	مجات 750ml راقي	كرتون	3.56667	30			
OGS_230008	مجات 750ml راقي	كرتون	3.03334	30			
OGS_230016	مجات 750ml راقي	كرتون	8.73335	30			
OGS_230017	مجات 750ml راقي	كرتون	6.36667	30			
OGS_230018	مجات 750ml راقي	كرتون	4.36667	30			
OGS_230019	مجات 750ml راقي	كرتون	4.53334	30			
OGS_230022	مجات 750ml  راقي	كرتون	6.03334	30			
OGS_230024	مجات 750ml راقي	كرتون	9.33334	30			
OGS_230026	مجات 750ml راقي	كرتون	3.23334	30			
OGS_230027	مجات 750ml راقي	كرتون	9.23367	30			
OGS_230028	مجات 750ml راقي	كرتون	6.93334	30			
OGS_230041	زمزمية 750 مل أزرق	كرتون	3.925	40			
OGS_230042	زمزمية 750 مل ابيض	كرتون	3.325	40			
OGS_230043	زمزمية 750 مل أحمر	كرتون	3.7	40			
OGS_230100	مجات 750ml راقي	كرتون	3.9	30			
OGS_25536	احذية	كرتون	3	24			
OGS_25540	احذية	كرتون	2.5	24			
							
