رقم الصنف	اسم الصنف	الوحدة	الكمية المتوفرة	الشد			
AR_20624	صدف زينة	كرتون	3.25	72			
AR_20626	صدف زينة	كرتون	1.5	72			
AR_20627	صدف زينة	كرتون	3	72			
AR_20627_36	صدف زينة	كرتون	3.75	36			
AR_20628	صدف زينة	كرتون	3	72			
AR_20628_36	صدف زينة	كرتون	1	36			
AR_20629	صدف زينة	كرتون	0.75	72			
AR_20629_36	صدف زينة	كرتون	15	36			
AR_20630	صدف زينة	كرتون	2	72			
AR_20630_36	صدف زينة	كرتون	4	36			
AR_20632	صدف زينة	كرتون	0.5	72			
AR_20633	صدف زينة	كرتون	3	72			
AR_20635	صدف زينة	كرتون	0.5	72			
AR_20635_36	صدف زينة	كرتون	5.75	36			
AR_20636	صدف زينة	كرتون	3.5	72			
AR_20637	صدف زينة	كرتون	1	72			
AR_20639_36	صدف زينة	كرتون	3.75	36			
AR_20640_36	صدف زينة	كرتون	23	36			
AR_20641_36	صدف زينة	كرتون	5	36			
AR_20642_36	صدف زينة	كرتون	18	36			
AR_20643	صدف زينة	كرتون	1	72			
AR_20643_36	صدف زينة	كرتون	2.75	36			
AR_20644_36	صدف زينة	كرتون	3	36			
AR_20645	صدف زينة	كرتون	12.5	72			
AR_20650_36	صدف زينة	كرتون	2.75	36			
AR_20651_36	صدف زينة	كرتون	3.75	36			
AR_20652_36	صدف زينة	كرتون	3.5	36			
AR_20653	عدة تزيين كيك	كرتون	36.75	60			
AR_20656	عدة تزيين كيك	كرتون	3.5	60			
AR_20657	عدة تزيين كيك	كرتون	3.5	60			
AR_20658	عدة تزيين كيك	كرتون	7.75	60			
AR_20660	عدة تزيين كيك	كرتون	14.5	60			
AR_20661	عدة تزيين كيك	كرتون	12.75	60			
AR_20662	عدة تزيين كيك	كرتون	3.5	60			
AR_20663	عدة تزيين كيك	كرتون	17.5	60			
AR_20697	عدد كهربائية	كرتون	3.5	48			
							
AR_20705	عدد كهربائية	كرتون	2.75	48			
AR_20706	عدد كهربائية	كرتون	3	48			
AR_20711	عدد كهربائية	كرتون	1.25	48			
AR_20734	مجسمات اوجه	كرتون	6	60			
AR_20735	مجسمات اوجه	كرتون	7	60			
AR_20737	مجسمات اوجه	كرتون	11	60			
AR_20741	مجسمات اوجه	كرتون	4.5	60			
AR_20743	مجسمات اوجه	كرتون	3.5	60			
AR_20745	مجسمات اوجه	كرتون	10	60			
AR_20746	مجسمات اوجه	كرتون	8.5	60			
AR_20747	مجسمات اوجه	كرتون	11	60			
AR_20748	مجسمات اوجه	كرتون	5	60			
AR_20754	مجسمات اوجه	كرتون	6	60			
AR_20890	سفر طاولة ذهبي كاسات	كرتون	6	60			
AR_20891	سفر طاولة ذهبي كاسات	كرتون	1	60			
AR_20892	سفر طاولة ذهبي كاسات	كرتون	4	60			
AR_20893	سفر طاولة ذهبي كاسات	كرتون	9	60			
AR_20894	سفر طاولة ذهبي كاسات	كرتون	4	60			
AR_20895	سفر طاولة ذهبي كاسات	كرتون	11	60			
AR_20898	سفر طاولة ذهبي كبير	كرتون	6	72			
AR_20900	سفر طاولة ذهبي كبير	كرتون	14.5	72			
AR_20904	سفر طاولة ذهبي كبير	كرتون	11	72			
AR_20905	سفر طاولة ذهبي كبير	كرتون	1	72			
AR_20906	سفر طاولة ذهبي كبير	كرتون	14	72			
AR_20907	سفر طاولة ذهبي كبير	كرتون	1	72			
AR_20908	سفر طاولة ذهبي كبير	كرتون	7.5	72			
AR_20909	سفر طاولة ذهبي كبير	كرتون	5.5	72			
AR_20910	سفر طاولة ذهبي كبير	كرتون	9	72			
AR_20993	مراكن ورد حجري بقاعدة	كرتون	54.25	48			
AR_20994	مراكن ورد حجري بقاعدة	كرتون	45	48			
AR_20995	مراكن ورد حجري بقاعدة	كرتون	55	48			
AR_20996	مراكن ورد حجري بقاعدة	كرتون	41.5	48			
AR_20997	مراكن ورد حجري بقاعدة	كرتون	54.75	48			
AR_21084	مراكن ورد مجسم	كرتون	16.5	60			
AR_21115	بلاط ديكور لاصق ابيض+اصفر	كرتون	64.25	48			
AR_21116	بلاط ديكور لاصق ابيض	كرتون	28.75	48			
AR_21117	بلاط ديكور لاصق ابيض+وردي	كرتون	53	48			
AR_21118	بلاط ديكور لاصق اصفر+ابيض	كرتون	62.75	48			
AR_21119	بلاط ديكور لاصق احمر+ابيض	كرتون	48.5	48			
AR_21120	بلاط ديكور لاصق ابيض+اصفر	كرتون	70.75	48			
AR_21121	بلاط ديكور لاصق احمر+ابيض	كرتون	52.75	48			
AR_21122	بلاط ديكور لاصق ابيض+اسود	كرتون	113.5	48			
AR_21123	بلاط ديكور لاصق احمر ابيض	كرتون	88	48			
							
AR_21124	بلاط ديكور لاصق اصفر+وردي	كرتون	127.25	48			
AR_21125	بلاط ديكور لاصق اصفر	كرتون	115.5	48			
AR_21126	بلاط ديكور لاصق ابيض+وردي	كرتون	113.75	48			
AR_21127	بلاط ديكور لاصق احمر+اصفر	كرتون	123	48			
AR_21128	بلاط ديكور لاصق اسود+ابيض	كرتون	120.25	48			
AR_21130	بلاط ديكور لاصق اصفر	كرتون	118	48			
AR_21138	بلاط ديكور لاصق زجاجي	كرتون	8.5	48			
AR_21205	تعليقات خشبي زينة	كرتون	0.5	72			
AR_21260	طاوة	كرتون	1	60			
AR_21483	اكياس حفظ الاطعمه	كرتون	0.1	60			
AR_21485	اكياس حفظ الاطعمة	كرتون	3.4	60			
AR_21487	اكياس حفظ الاطعمة	كرتون	0.3	60			
AR_21547	قفل شنطه + ميدالية بوصله	كرتون	0.5	72			
AR_21549	قفل صغير	كرتون	0.75	72			
AR_21550	قفل شنطة + سكين سويسري صغير	كرتون	0.5	72			
AR_21551	قفل شنطة + قصاصة اظافر	كرتون	12.13888	72			
AR_21553	قفل شنطة + بطاقه التعريف	كرتون	10.93055	72			
AR_21597	شبك مشاوي دائري صغير	كرتون	2.25	72			
AR_21611	اكياس برطمان 12حبه 10*15	كرتون	15.5	72			
AR_21612	اكياس برطمان 8حبه 13*20	كرتون	12.5	72			
AR_21613	اكياس برطمان 6حبه 16*25	كرتون	14	72			
AR_21614	اكياس برطمان 12حبه 10*15	كرتون	13.5	72			
AR_21615	اكياس برطمان 8حبه 13*20	كرتون	11.5	72			
AR_21616	اكياس برطمان 6حبه 16*25	كرتون	11.5	72			
AR_21617	اكياس برطمان 12حبه 10*15	كرتون	15.5	72			
AR_21618	اكياس برطمان 8حبه 13*20	كرتون	15	72			
AR_21619	اكياس برطمان 6حبه 16*25	كرتون	14.5	72			
AR_21743	مصاصات ذهبي 140 حبه	كرتون	2	60			
AR_21757	مصاصات اسود 140 حبه	كرتون	5	60			
AR_21774	قلم تزيين كيك	كرتون	1.25	72			
AR_21776	قطاعة عجين استيل	كرتون	3.5	72			
AR_21777	قطاعة عجين يد خشبي	كرتون	13.25	72			
AR_21806	مسكات باب ونوافذ	كرتون	0.5	72			
AR_21807	مسكات للباب والنوافذ 4 حبات كبير	كرتون	3.5	72			
AR_21808	ربطات سيليكون	كرتون	2	72			
AR_21946	اضاءات شموع رمضاني بقاعده	كرتون	5	60			
AR_21993	اضاءات ملونة نجمة	كرتون	5.5	72			
AR_22267	قوالب كيك سيليكون ملون	كرتون	3	60			
AR_22269	قوالب كيك سيليكون ملون	كرتون	3.5	60			
AR_22270	قوالب كيك سيليكون ملون	كرتون	1.75	60			
AR_22272	قوالب كيك سيليكون ملون	كرتون	10.25	60			
AR_22273	قوالب كيك سيليكون ملون	كرتون	4.5	60			
AR_22278	قوالب كيك سيليكون ملون	كرتون	4.5	60			
							
AR_22280	قوالب كيك سيليكون ملون	كرتون	3	60			
AR_22281	قوالب كيك سيليكون ملون	كرتون	2.75	60			
AR_22294	قوالب كيك سيليكون ملون	كرتون	0.5	60			
AR_22348	علبة مشاط ومراية	كرتون	2.75	72			
AR_22418	ستاند مناديل	كرتون	7	72			
AR_22419	ستاند مناديل	كرتون	8	72			
AR_22421	ستاند مناديل	كرتون	2	72			
AR_22422	ستاند مناديل	كرتون	2	72			
AR_22423	ستاند مناديل	كرتون	1.5	72			
AR_22563	اكياس كريمة مقاس 10 - 50قطعه	كرتون	1	72			
AR_22564	اكياس كريمة مقاس 14 -40قطعه	كرتون	1	72			
AR_22639	مراكن سيراميك	كرتون	3	48			
AR_22646	مراكن سيراميك	كرتون	4	36			
AR_22725	مسامير	كرتون	0.5	72			
AR_22726	مسامير	كرتون	0.75	72			
AR_22727	سحاب ادراج بلاستيك	كرتون	0.5	72			
AR_22728	سحاب ادراج بلاستيك	كرتون	1.5	72			
AR_22730	مسامير	كرتون	2.5	72			
AR_22733	مسامير	كرتون	4	72			
AR_22739	مسامير	كرتون	0.5	72			
AR_22740	مسامير	كرتون	0.5	72			
AR_22745	مفصله باب	كرتون	4.5	96			
AR_22753	مغلقة	كرتون	1.25	96			
AR_22755	اكياس كريمة مقاس 12 -45قطعه	كرتون	1	72			
AR_22767	شموع	كرتون	4.5	72			
AR_22768	شموع	كرتون	2	72			
AR_22853	طاوات استيل اشكال	كرتون	1	60			
AR_22859	قالب تارت بيضاوي ذهبي 21*31 سم	كرتون	9.5	60			
AR_22860	قالب تارت اسود دائري 28 سم	كرتون	2	60			
AR_22871	قالب كيك مستطيل ذهبي 13*25سم	كرتون	1	60			
AR_22872	قالب كيك مستطيل ذهبي 15*28 سم	كرتون	0.7	60			
AR_22874	قوالب كيك فرن	كرتون	0.75	60			
AR_22875	قالب كوب كيك 6 عيون 18*26 سم	كرتون	2.75	60			
AR_22876	قوالب كيك فرن	كرتون	0.5	60			
AR_22877	قالب كوب كيك 6 عيون 26*18 سم	كرتون	0.5	60			
AR_22878	قالب كوب كيك 6 عيون 18*26 سم	كرتون	2.75	60			
